N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
96,한국가스공사,"35,850",200,-0.55%,"5,000","33,094","92,313",10.51,"473,513",7.45,-2.24,
97,GS건설,"38,450",950,-2.41%,"5,000","32,906","85,581",26.14,"462,746",9.36,7.68,
98,팬오션,"6,080",120,+2.01%,"1,000","32,502","534,570",11.94,"17,413,624",10.45,3.25,
99,한미약품,"255,000","4,000",-1.54%,"2,500","31,411","12,318",13.28,"18,677",40.62,1.65,
100,호텔신라,"78,800",0,0.00%,"5,000","30,928","39,248",13.95,"372,980",-30.25,-36.74,
101,한미사이언스,"44,800",500,+1.13%,500,"30,743","68,624",2.33,"84,392",56.78,3.47,
102,TIGER 차이나전기차SOLACTIVE,"14,510",75,-0.51%,0,"30,546","210,520",0.24,"4,576,480",N/A,N/A,
103,현대오토에버,"110,000","4,500",-3.93%,500,"30,166","27,424",1.93,"137,111",39.93,11.09,
104,DB하이텍,"67,500","1,800",-2.60%,"5,000","29,969","44,399",25.28,"819,528",14.10,23.07,
105,롯데지주,"28,150",100,-0.35%,200,"29,532","104,909",7.72,"82,788",14.67,-3.03,
106,BGF리테일,"165,500","2,000",-1.19%,"1,000","28,605","17,284",31.96,"55,051",20.71,18.60,
107,현대미포조선,"70,600","1,500",-2.08%,"5,000","28,199","39,942",10.56,"212,242",-18.34,-0.84,
108,한화시스템,"14,700",300,-2.00%,"5,000","27,771","188,919",2.09,"514,252",17.82,9.35,
109,GS리테일,"26,150",100,-0.38%,"1,000","27,384","104,718",7.83,"244,865",2.64,7.50,
110,BNK금융지주,"8,340",160,-1.88%,"5,000","27,183","325,935",40.37,"1,107,934",3.33,6.11,
111,한전기술,"71,100","6,200",-8.02%,200,"27,174","38,220",1.88,"465,766",267.29,N/A,
112,한화생명,"3,105",90,-2.82%,"5,000","26,968","868,530",7.99,"2,201,068",3.52,1.90,
113,CJ대한통운,"117,500","7,000",-5.62%,"5,000","26,804","22,812",21.13,"69,771",91.01,3.89,
114,제일기획,"22,950",50,+0.22%,200,"26,402","115,041",31.45,"338,089",13.52,16.11,
115,동서,"26,350",350,-1.31%,500,"26,271","99,700",2.76,"88,054",24.74,8.61,
116,에스원,"67,800","1,200",-1.74%,500,"25,763","37,999",53.14,"36,384",16.95,10.48,
117,신세계,"259,000",500,+0.19%,"5,000","25,499","9,845",25.45,"71,634",9.74,-2.81,
118,키움증권,"96,900",300,+0.31%,"5,000","25,407","26,220",25.44,"49,205",2.79,27.63,
119,현대해상,"27,800",350,-1.24%,500,"24,853","89,400",27.52,"474,751",6.49,7.13,
120,포스코인터내셔널,"19,900",100,-0.50%,"5,000","24,552","123,375",7.00,"586,371",8.04,7.69,
121,한솔케미칼,"216,000","7,000",-3.14%,"5,000","24,484","11,335",41.82,"76,723",16.85,24.50,
122,LG화학우,"313,000","6,500",-2.03%,"5,000","24,066","7,689",72.12,"12,809",8.16,N/A,
123,하이트진로,"34,250",350,-1.01%,"5,000","24,021","70,134",5.17,"694,360",46.66,8.23,
